id_kosakata,kata,lafal,arti,contoh_asal,contoh_terjemahan,id_kelas_kata,id_bahasa
1,aba,aba,"bete, talas",nja aba dun trung,ibu membakar bete,2,2
2,abletsing,abletsiŋ,terbalik,nemot amblemba king on abletsing,dia memakai baju terbalik,1,2
3,abusi,abusi,kakek,kandei abusi mse ket ong,kakek saya masih hidup,2,2
4,agha,aXa,"kakak, abang",nggo syoli kandei agha,orang itu itu kakak saya,2,2
5,agha kambung,aXa kambunŋ,kakak perempuan,kandei agha kambung syoli mbei ati awum,kakak perempuan saya sudah menikah,2,2
6,abe,,tarian tifa,,,2,3
7,abea,,"menyanyi, bernyanyi",ie abeate koma konte gerejane,kami menyanyi di gereja,7,3
8,abere,,pasar,menangke ka abere na kasebo boise,ibu menjual ikan di pasar,2,3
9,abobotoi,,"beradab, berlaku sopan, budi bahasa yang baik",ni pa newari abobotoi se poi kelakuan,kelakuan anak itu sangat beradab,2,3
10,abu¹,,fam,deyea abu Ebe,fam saya Ebe,2,3
11,abuti,,bohong / berdusta,,,,4
12,adoh / ado / adu / aro,,aduh,,,,4
13,afker / afkir,,kadaluarsa,,,,4
14,alang-alang,,"rumput alang-alang, ilalang",,,,4
15,ale,,kamu,,,,4
